,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not Applicable (Under 16 years or not in the labor force, who last worked more than 5 years ago--also see occ code 992 or occsoc code 999920)"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",,,,,,,,,,,,,,,
Management Occupations:,,,,,,,,,,,,,,,
,93,93,930,930,930,930,930,132081,132081,132081,132081,132081,132081,132081,"Tax Examiners and Collectors, and Revenue Agents"
,94,94,940,940,940,940,940,132082,132082,132082,132082,132082,132082,132082,Tax Preparers
,95,95,950,950,950,950,,132099,132099,132099,132099,132099,132099,,"Financial Specialists, All Other"
,,,,,,,960,,,,,,,1320XX,Other Financial Specialists
Computer and Mathematical Occupations:,,,,,,,,,,,,,,,
,100,100,1000,1000,,,,1510XX,1510XX,1510XX,1510XX,,,,Computer Scientists and Systems Analysts
,,,,,1005,1005,,,,,,151111,151111,,Computer And Information Research Scientists
,,,,,,,1005,,,,,,,151221,Computer And Information Research Scientists
,,,,,1006,1006,,,,,,151121,151121,,Computer Systems Analysts
,,,,,,,1006,,,,,,,151211,Computer Systems Analysts
,,,,,1007,1007,,,,,,151122,151122,,Information Security Analysts
,,,,,,,1007,,,,,,,151212,Information Security Analysts
,101,101,1010,1010,,,,151021,151021,151021,151021,,,,Computer Programmers
,,,,,1010,1010,,,,,,151131,151131,,Computer Programmers
,,,,,,,1010,,,,,,,151251,Computer Programmers
,102,102,1020,1020,,,,151030,151030,151030,151030,,,,Computer Software Engineers
,,,,,1020,1020,,,,,,15113X,15113X,,"Software Developers, Applications and Systems Software"
,,,,,,,1021,,,,,,,151252,Software Developers
,,,,,,,1022,,,,,,,151253,Software Quality Assurance Analysts And Testers
,,,,,1030,1030,,,,,,151134,151134,,Web Developers
,,,,,,,1031,,,,,,,151254,Web Developers
,,,,,,,1032,,,,,,,151255,Web And Digital Interface Designers
,104,104,1040,1040,,,,151041,151041,151041,151041,,,,Computer Support Specialists
,,,,,1050,1050,,,,,,151150,151150,,Computer Support Specialists
,,,,,,,1050,,,,,,,151230,Computer Support Specialists
,106,106,1060,1060,,,,151061,151061,151061,151061,,,,Database Administrators
,,,,,1060,1060,,,,,,151141,151141,,Database Administrators
,,,,,,,1065,,,,,,,15124X,Database Administrators And Architects
,110,110,1100,1100,,,,151071,151071,151071,151071,,,,Network and Computer Systems Administrators
,,,,,1105,1105,,,,,,151142,151142,,Network and Computer Systems Administrators
,,,,,,,1105,,,,,,,151244,Network And Computer Systems Administrators
,,,,,1106,1106,,,,,,151143,151143,,Computer Network Architects
,,,,,,,1106,,,,,,,151241,Computer Network Architects
,,,,,1107,1107,,,,,,151199,151199,,"Computer Occupations, All Other"
,,,,,,,1108,,,,,,,151299,"Computer Occupations, All Other"
,111,111,1110,1110,,,,151081,151081,151081,151081,,,,Network Systems and Data Communications Analysts
,120,120,1200,1200,1200,1200,1200,152011,152011,152011,152011,152011,152011,152011,Actuaries
,   ,,1210,,,,,152021,,152021,,,,,Mathematicians
,122,122,1220,1220,1220,1220,1220,152031,152031,152031,152031,152031,152031,152031,Operations Research Analysts
,123,,1230,,,,,152041,,152041,,,,,Statisticians
,124,,1240,,,,,152090,,1520XX,,,,,Miscellaneous Mathematical Scientists and Technicians
,,124,,1240,1240,1240,,,1520XX,,1520XX,1520XX,1520XX,,"Miscellaneous mathematical science occupations, including mathematicians and statisticians"
,,,,,,,1240,,,,,,,1520XX,Other Mathematical Science Occupations
Architecture and Engineering Occupations:,,,,,,,,,,,,,,,
,130,130,1300,1300,1300,1300,,171010,171010,171010,171010,171010,171010,,"Architects, Except Naval"
,,,,,,,1305,,,,,,,171011,"Architects, Except Landscape And Naval"
,,,,,,,1306,,,,,,,171012,Landscape Architects
,131,131,1310,1310,1310,1310,1310,171020,171020,171020,171020,171020,171020,171020,"Surveyors, Cartographers, and Photogrammetrists"
,132,132,1320,1320,1320,1320,1320,172011,172011,172011,172011,172011,172011,172011,Aerospace Engineers
,,,,1340,1340,1340,1340,,,,1720XX,1720XX,1720XX,1720XX,Biomedical and Agricultural Engineers
,133,,,,,,,172021,,,172021,,,,Agricultural Engineers
,134,,,,,,,172031,,,172031,,,,Biomedical Engineers
,135,135,1350,1350,1350,1350,1350,172041,172041,172041,172041,172041,172041,172041,Chemical Engineers
,136,136,1360,1360,1360,1360,1360,172051,172051,172051,172051,172051,172051,172051,Civil Engineers
,140,140,1400,1400,1400,1400,1400,172061,172061,172061,172061,172061,172061,172061,Computer Hardware Engineers
,141,141,1410,1410,1410,1410,1410,172070,172070,172070,172070,172070,172070,172070,Electrical and Electronics Engineers
,142,142,1420,1420,1420,1420,1420,172081,172081,172081,172081,172081,172081,172081,Environmental Engineers
